,,,,,,,,,,,,,,,,,,,,
Theme,Indicator Name,Source of Indicator,Data set name,Group,API,Chart type 1,Filter 1 for chart type 1,Filter type for chart type 1,Filter 2 for chart type 1,Filter type for chart type 1,Chart type 2,Filter 1 for chart type 2,Filter type for chart type 2,Filter 2 for chart type 2,Filter type for chart type 2,Chart type 3,Filter 1 for chart type 3,Filter type for chart type 3,Filter 2 for chart type 3,Filter type for chart type 3
Education,Details on Computers & Digital Initiatives,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Bar Graph - color by type of management,Year,single value dropdown,Type of Manangement,Multiple Value Dropdown,Line Chart - color by sub Indicator,Sub Indicator,Multiple value dropdown,Type of Management,Single Value dropdown,side by side bar -  color by Year,Sub Indicator,Single value dropdown,type of management'; year,multiple values dropdown
Education,School having ICT Labs,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Line graph - color by sub indicator,Sub indicator,Multiple value dropdown,NA,NA,Bar Graph - color by sub indicator,year,Multiple value dropdown,sub indicator,Single Value dropdown,Tree Map,Year,Single value dropdown,sub indicator,multiple values dropdown
Education,Promotion Rate,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Horizontal Bar - color by level of education,Gender; year,single value dropdown,level of education,Multiple Value Dropdown,Side by side bar,gender; year,Multiple value dropdown; single value dropdown,level of education,Multiple value dropdown,line graph - color by gender,level of education,Single value dropdown,gender,multiple values dropdown
Education,Pupil Teacher Ratio by level of education,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Line graph - color by level of education,level of education,Multiple value dropdown,NA,NA,Horizontal Bar - color by level of education,year,single value dropdown,NA,NA,side by side bar - color by year,year,Multiple value dropdown,level of education,multiple values dropdown
Education,Retention Rate,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Line - color by level of education,Gender,single value dropdown,level of education,Multiple Value Dropdown,Side by side bar - color by year,gender; year,Multiple value dropdown,level of education,Single Value dropdown,Horizontal bar - color by year,gender,Single value dropdown,level of education; year,multiple values dropdown
Education,Transition Rate,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Line - color by level of education,Gender,single value dropdown,level of education,Multiple Value Dropdown,side by side bar - color by year,year,Multiple value dropdown,level of education,Single Value dropdown,side by side Horizontal bar - color by year,gender,Single value dropdown,level of education; year,multiple values dropdown
Education,Number of schools having drinking water facility within school premises by all types of management,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Bar graph,type of management,Multiple value dropdown,sources of drinking water; year,Single Value Dropdown,Horizontal Bar Graph,type of management,single value dropdown,sources of drinking water; year,Multiple value dropdown,tree map - color by value,type of management; year,Single value dropdown,sources of drinking water,multiple values dropdown
Education,"Enrolment of Students (According to level of education, upto higher secondary)",,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,side by side bar - color by gender,type of management,Multiple value dropdown,level of education; year,single value dropdown,side by side horizontal bar - color by gender,type of management,single value dropdown,level of education; year,Multiple value dropdown,line graph - color by type of management,type of management,Multiple value dropdown,level of education,single value dropdown
Education,Percentage of all minority groups enrolment to total enrolment,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,side by side bar - color by year,Gender; year,Multiple value dropdown,level of education,single value dropdown,Line Chart - color by level of education,gender,single value dropdown,level of education,Multiple value dropdown,bar graph - color by level of education,gender,Single value dropdown,level of education; year,multiple values dropdown
Education,Number of schools by management and Facilities,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Column bar,Year ; facilities,single value dropdown,Type of management,Multiple value dropdown,Lollipop Chart,Year ; facilities,single value dropdown,Type of management,Multiple value dropdown,Line chart,type of management,Single value dropdown,Facilities,Single value dropdown
